Ch	LOCODE	Name	NameWoDiacritics	SubDiv	Function	Status	Date	IATA	Coordinates	Remarks
 	US  AKM 	Adams 	Adams 	TN 	-23----- 	RL 	0607 	 	3635N 08704W 	 
 	US  AZM 	Adams 	Adams 	WI 	-23----- 	RL 	0607 	 	4357N 08948W 	 
 	US  UAN 	Adams 	Adams 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  UAT 	Adams 	Adams 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  ADH 	Adams Center 	Adams Center 	NY 	--3----- 	RL 	0907 	 	4349N 07601W 	 
 	US  YP2 	Adams City 	Adams City 	CO 	--3----- 	RL 	1407 	 	3949N 10455W 	 
 	US  UAJ 	Adams Run 	Adams Run 	SC 	--3--6-- 	RL 	0601 	 	3243N 08021W 	 
 	US  DST 	Adamston 	Adamston 	WV 	123--6-- 	RL 	0407 	 	3917N 08021W 	 
 	US  AN6 	Adamstown 	Adamstown 	MD 	-----6-- 	RL 	1201 	 	3918N 07728W 	 
 	US  AEJ 	Adamstown 	Adamstown 	PA 	--3----- 	RL 	0601 	 	4014N 07604W 	 
 	US  UAM 	Adamsville 	Adamsville 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  ADD 	Addis 	Addis 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  IAB 	Addison 	Addison 	ME 	1-3--6-- 	RL 	0601 	 	4437N 06745W 	 
 	US  XDS 	Addison 	Addison 	NY 	--3----- 	RL 	1207 	 	4206N 07714W 	 
 	US  YAI 	Addison 	Addison 	MI 	--3----- 	RL 	0212 	 	4159N 08421W 	 
 	US  QDS 	Addison 	Addison 	PA 	--3----- 	RQ 	1001 	 	3944N 07920W 	 
 	US  ADX 	Addison 	Addison 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  ADS 	Addison 	Addison 	AL 	--3----- 	RQ 	0002 	 	 	 
 	US  UAP 	Addison 	Addison 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  DDX 	Addison 	Addison 	TX 	--3----- 	RL 	0201 	 	3258N 09650W 	 
 	US  UAS 	Addyston 	Addyston 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  ADE 	Adel 	Adel 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  ZAE 	Adel 	Adel 	IA 	--3----- 	RL 	0212 	 	4137N 09401W 	 
 	US  ADU 	Adelanto 	Adelanto 	CA 	--3----- 	RL 	0507 	 	3434N 11724W 	 
 	US  AJD 	Adell 	Adell 	WI 	-23----- 	RL 	0607 	 	4337N 08757W 	 
 	US  A9D 	Adelphi 	Adelphi 	MD 	--3----- 	RL 	1301 	 	3859N 07658W 	 
 	US  AHP 	Adelphia 	Adelphia 	NJ 	--3----- 	RL 	0701 	 	4013N 07415W 	 
 	US  AGE 	Adger 	Adger 	AL 	--3----- 	AI 	9601 	 	 	 
 	US  RZU 	Adkins 	Adkins 	TX 	--3----- 	RL 	1401 	 	2923N 09814W 	 
 	US  AQA 	Adrian 	Adrian 	OH 	--3----- 	RL 	0701 	 	4105N 08319W 	 
 	US  AI4 	Adrian 	Adrian 	MN 	--3----- 	RL 	1301 	 	4338N 09555W 	 
 	US  UAO 	Adrian 	Adrian 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  DIA 	Adrian 	Adrian 	WI 	1-3----- 	RL 	0407 	 	4356N 09036W 	 
 	US  5AN 	Adrian 	Adrian 	TX 	--3----- 	RL 	1307 	 	3516N 10239W 	 
 	US  ADG 	Adrian 	Adrian 	MI 	---4---- 	AI 	9601 	 	 	 
 	US  AD9 	Adrian 	Adrian 	PA 	-----6-- 	RL 	1201 	 	4053N 07932W 	 
 	US  AR8 	Adrian 	Adrian 	WV 	--3----- 	RL 	1301 	 	3854N 08016W 	 
 	US  A2D 	Advance 	Advance 	IN 	--3----- 	RL 	0901 	 	3959N 08637W 	 
 	US  AVX 	Advance 	Advance 	MO 	--3----- 	RL 	0201 	 	3706N 08954W 	 
 	US  UAR 	Advance 	Advance 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  AFF 	Affton 	Affton 	MO 	-23--6-- 	RL 	0607 	 	3833N 09019W 	 
 	US  AFK 	Afognak 	Afognak 	AK 	1------- 	RL 	0105 	 	5800N 15246W 	 
 	US  FJT 	Afton 	Afton 	MN 	--3----- 	RL 	1201 	 	4454N 09247W 	 
 	US  AF9 	Afton 	Afton 	MI 	--3----- 	RL 	1407 	 	4522N 08429W 	 
 	US  AFO 	Afton 	Afton 	WY 	---4---- 	AI 	0001 	 	 	 
 	US  AFQ 	Afton 	Afton 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  AFT 	Afton 	Afton 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  AS7 	Afton 	Afton 	OK 	--3----- 	RQ 	0907 	 	3641N 09457W 	 
 	US  AF5 	Afton 	Afton 	IA 	1-3----- 	RL 	1401 	 	4101N 09411W 	 
 	US  XBL 	Agawam 	Agawam 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  UAX 	Agoura 	Agoura 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  AGH 	Agoura Hills 	Agoura Hills 	CA 	--3----- 	RL 	0601 	 	3409N 11847W 	 
 	US  A2G 	Agua Dulce 	Agua Dulce 	CA 	--3----- 	RL 	0901 	 	3429N 11819W 	 
 	US  T7X 	Agua Dulce 	Agua Dulce 	TX 	--3----- 	RL 	1501 	 	2746N 09754W 	 
 	US  GKG 	Aguanga 	Aguanga 	CA 	--3----- 	RL 	0901 	 	3326N 11651W 	 
 	US  AHE 	Ahoskie 	Ahoskie 	NC 	--3----- 	RL 	0201 	 	3617N 07700W 	 
 	US  AH2 	Ahsahka 	Ahsahka 	ID 	--3----- 	AA 	1507 	 	4630N 11619W 	 
 	US  AIE 	Aiea (Oahu) 	Aiea (Oahu) 	HI 	--3----- 	RQ 	9307 	 	 	 
 	US  AIK 	Aiken 	Aiken 	SC 	--34---- 	AI 	9601 	 	 	 
 	US  YAY 	Ailey 	Ailey 	GA 	-23----- 	RL 	0701 	 	3211N 08234W 	 
 	US  AW2 	Ainsworth 	Ainsworth 	NE 	--34---- 	RQ 	0907 	ANW 	4233N 09952W 	 
 	US  A2M 	Airmont 	Airmont 	NY 	--3----- 	AA 	1507 	 	4106N 07407W 	 
 	US  AYH 	Airway Heights 	Airway Heights 	WA 	-23--6-- 	RL 	0601 	 	4739N 11735W 	 
 	US  AJ9 	Ajo 	Ajo 	AZ 	--3----- 	RL 	1307 	 	3222N 11251W 	 
 	US  AKQ 	Akers 	Akers 	LA 	--3----- 	RL 	1301 	 	3017N 09024W 	 
 	US  AKK 	Akhiok 	Akhiok 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  KKI 	Akiachak 	Akiachak 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AKI 	Akiak 	Akiak 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AKR 	Akron 	Akron 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  ARN 	Akron 	Akron 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  AKO 	Akron 	Akron 	CO 	---4---- 	AI 	0001 	 	 	 
 	US  AKH 	Akron 	Akron 	OH 	--34---- 	RL 	1101 	CAK 	4104N 08132W 	 
 	US  AKC 	Akron 	Akron 	IN 	--3----- 	RL 	0212 	 	4102N 08602W 	 
 	US  AKA 	Akron 	Akron 	MI 	--3----- 	RL 	0212 	 	4334N 08331W 	 
 	US  AK5 	Akron 	Akron 	IA 	--3----- 	AA 	1507 	 	4249N 09633W 	 
 	US  KQA 	Akutan 	Akutan 	AK 	---4---- 	AI 	0607 	 	5408N 16546W 	 
 	US  A9L 	Alabama 	Alabama 	NY 	--3----- 	RL 	1301 	 	4305N 07823W 	 
 	US  ZAC 	Alabama City 	Alabama City 	AL 	-----6-- 	RL 	0901 	 	3401N 08402W 	 
 	US  AA2 	Alabama Pt. 	Alabama Pt. 	AL 	1------- 	RL 	1307 	 	3021N 08806W 	 
 	US  LBA 	Alabaster 	Alabaster 	AL 	--3----- 	RL 	0501 	 	3314N 08648W 	 
 	US  AHU 	Alachua 	Alachua 	FL 	1-3----- 	RL 	0212 	 	2947N 08229W 	 
 	US  DNJ 	Aladdin 	Aladdin 	WY 	--3----- 	RL 	0901 	 	4438N 10410W 	 
 	US  AUK 	Alakanuk 	Alakanuk 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AMC 	Alamance 	Alamance 	NC 	--3----- 	RL 	0002 	 	 	 
 	US  NGZ 	Alameda 	Alameda 	CA 	1--4---- 	AI 	0001 	 	 	 
 	US  AM8 	Alamo 	Alamo 	NV 	-----6-- 	RL 	1401 	 	3721N 11509W 	 
 	US  AMO 	Alamo 	Alamo 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  AMT 	Alamo 	Alamo 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  UBB 	Alamo 	Alamo 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  ALM 	Alamogordo 	Alamogordo 	NM 	--34---- 	AI 	0507 	 	3253N 10557W 	 
 	US  ALS 	Alamosa 	Alamosa 	CO 	---4---- 	AI 	0001 	 	 	 
 	US  YAN 	Alanson 	Alanson 	MI 	123--6-- 	RL 	0307 	 	4526N 08447W 	 
 	US  XAB 	Alba 	Alba 	TX 	--3----- 	RL 	0901 	 	3248N 09538W 	 
 	US  TLB 	Alba 	Alba 	MI 	--3----- 	RL 	1201 	 	4458N 08458W 	 
 	US  UBE 	Albany 	Albany 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  UBA 	Albany 	Albany 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  AY9 	Albany 	Albany 	KY 	--3----- 	RL 	0901 	 	3641N 08508W 	 
 	US  AYX 	Albany 	Albany 	VT 	--3----- 	RL 	0901 	 	4443N 07222W 	 
 	US  AYW 	Albany 	Albany 	WI 	--3----- 	RL 	0701 	 	4242N 08926W 	 
 	US  AYK 	Albany 	Albany 	OR 	-23----B 	RL 	0701 	 	4438N 12306W 	apt cf US CVO 
 	US  ALA 	Albany 	Albany 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  AL2 	Albany 	Albany 	MN 	-23--6-- 	RL 	0607 	 	4537N 09434W 	 
 	US  AJB 	Albany 	Albany 	IL 	--3-5--- 	RL 	1001 	 	4147N 09013W 	 
 	US  ABY 	Albany 	Albany 	GA 	---4---- 	AI 	9601 	 	 	 
 	US  AB2 	Albany 	Albany 	WY 	-23----- 	RL 	0607 	 	4111N 10608W 	 
 	US  AB5 	Albany 	Albany 	IN 	--3--6-- 	RQ 	1001 	 	4018N 08515W 	 
 	US  ALB 	Albany 	Albany 	NY 	1--4---- 	AI 	0207 	 	 	 
 	US  CVO 	Albany-Corvallis Apt 	Albany-Corvallis Apt 	OR 	---4---- 	AI 	9601 	 	 	 
 	US  UAD 	Albemarle 	Albemarle 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  LXR 	Albers 	Albers 	IL 	----5--- 	RL 	1401 	 	3832N 08936W 	 
 	US  AEL 	Albert Lea 	Albert Lea 	MN 	--34---- 	AI 	9601 	 	 	 
 	US  OBQ 	Albertson 	Albertson 	NY 	--3----- 	RL 	0701 	 	4046N 07338W 	 
 	US  ABV 	Albertville 	Albertville 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  ALV 	Albertville 	Albertville 	MN 	--3----- 	RQ 	9307 	 	 	 
 	US  AL6 	Albia 	Albia 	IA 	--3----- 	RL 	1207 	 	4101N 09248E 	 
 	US  AQI 	Albin 	Albin 	WY 	-23----- 	RL 	0607 	 	4125N 10406W 	 
 	US  AB8 	Albion 	Albion 	NE 	--3----- 	RL 	0901 	 	4141N 09800W 	 
 	US  AN5 	Albion 	Albion 	ID 	--3----- 	RL 	1201 	 	4225N 11335W 	 
 	US  AO7 	Albion 	Albion 	ME 	--3----- 	RL 	1407 	 	4431N 06926W 	 
 	US  AOB 	Albion 	Albion 	IL 	--3----- 	RL 	0006 	 	 	 
 	US  AON 	Albion 	Albion 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  AOX 	Albion 	Albion 	MI 	--3----- 	RL 	0501 	 	4214N 08445W 	 
 	US  YAB 	Albion 	Albion 	IN 	--3----- 	RL 	0212 	 	4124N 08525W 	 
 	US  AB7 	Albion 	Albion 	IA 	--3----- 	RL 	0901 	 	4206N 09259W 	 
 	US  AB4 	Albion (Erie County) 	Albion (Erie County) 	PA 	--3--6-- 	RL 	0907 	 	4153N 08022W 	 
+ 	US  AO9 	Alborn 	Alborn 	MN 	--3----- 	RL 	1601 	 	4658N 09234W 	 
 	US  AB6 	Albrightsville 	Albrightsville 	PA 	--3----- 	RQ 	1001 	 	4101N 07536W 	 
 	US  ABQ 	Albuquerque 	Albuquerque 	NM 	---4---- 	AI 	0001 	 	 	 
 	US  ALR 	Alburg 	Alburg 	VT 	--3----- 	RL 	0201 	 	4458N 07318W 	 
 	US  ALU 	Alburtis 	Alburtis 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  AC5 	Alcade 	Alcade 	NM 	--3--6-- 	RL 	0607 	 	3605N 10603W 	 
 	US  XAC 	Alcalde 	Alcalde 	NM 	--3----- 	RQ 	0907 	 	3605N 10603W 	 
 	US  ZAK 	Alcan 	Alcan 	AK 	----5--- 	RL 	0901 	 	6243N 14111W 	 
 	US  ALJ 	Alcester 	Alcester 	SD 	--3----- 	RL 	0212 	 	4301N 09638W 	 
 	US  ACO 	Alcoa 	Alcoa 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  AD4 	Alda 	Alda 	NE 	--3----- 	RL 	0901 	 	4052N 09828W 	 
 	US  2AD 	Aldan 	Aldan 	PA 	--3----- 	RL 	1307 	 	3955N 07517W 	 
 	US  DNF 	Alden 	Alden 	MN 	-23----- 	RL 	0901 	 	4340N 09335W 	 
 	US  EDH 	Alden 	Alden 	IA 	--3--6-- 	RL 	0507 	 	4231N 09322W 	 
 	US  YLF 	Alden 	Alden 	NY 	-23----- 	RL 	0601 	 	4254N 07830W 	 
 	US  AL7 	Aldie 	Aldie 	VA 	1------- 	RL 	1201 	 	3858N 07738W 	 
 	US  AD8 	Aldine 	Aldine 	TX 	------7- 	RL 	1207 	 	2955N 09522W 	 
 	US  AD5 	Aledo 	Aledo 	IL 	--3----- 	RQ 	1001 	 	4111N 09044W 	 
 	US  AQD 	Aledo 	Aledo 	TX 	-23--6-- 	RL 	0607 	 	3242N 09736W 	 
 	US  WKK 	Aleknagik 	Aleknagik 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AED 	Aleneva 	Aleneva 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AKX 	Alexander 	Alexander 	ND 	--3----- 	RL 	1207 	 	4750N 10338W 	 
 	US  YAX 	Alexander 	Alexander 	AR 	-23--6-- 	RL 	0401 	 	3437N 09226W 	 
 	US  ZXA 	Alexander 	Alexander 	IL 	----5--- 	RL 	1401 	 	3943N 09002W 	 
 	US  AEX 	Alexander 	Alexander 	IA 	--3----- 	RL 	0101 	 	4248N 09328W 	 
 	US  ALX 	Alexander City 	Alexander City 	AL 	---4---- 	AI 	9601 	 	 	 
 	US  AXD 	Alexandria 	Alexandria 	IN 	--3----- 	RQ 	9307 	 	 	 
 	US  XAA 	Alexandria 	Alexandria 	TN 	--3----- 	RQ 	1001 	 	3604N 08602W 	 
 	US  ESF 	Alexandria 	Alexandria 	LA 	--34---- 	RQ 	9008 	 	 	 
 	US  AZ4 	Alexandria 	Alexandria 	OH 	--3----- 	RL 	1207 	 	3843N 08302W 	 
 	US  AXY 	Alexandria 	Alexandria 	MO 	-23----- 	RL 	0607 	 	4021N 09127W 	 
 	US  AXR 	Alexandria 	Alexandria 	VA 	123----- 	RL 	1101 	 	3848N 07702W 	 
 	US  AXN 	Alexandria 	Alexandria 	MN 	--34---- 	AI 	9601 	 	 	 
 	US  AXA 	Alexandria 	Alexandria 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  AXP 	Alexandria 	Alexandria 	KY 	----5--- 	RL 	0901 	 	3857N 08423W 	 
 	US  AXB 	Alexandria Bay 	Alexandria Bay 	NY 	--3----- 	RL 	0106 	 	4419N 07555W 	 
+ 	US  5G3 	Alexis 	Alexis 	NC 	--3----- 	RL 	1601 	 	3523N 08107W 	 
 	US  LEV 	Alexis 	Alexis 	IL 	----5--- 	RL 	1401 	 	4103N 09033W 	 
 	US  AFE 	Alfred 	Alfred 	ME 	--3--6-- 	RL 	0601 	 	4329N 07043W 	 
 	US  QAF 	Alfred 	Alfred 	NY 	-23----- 	RL 	0212 	 	4215N 07747W 	 
 	US  AFS 	Alfred Station 	Alfred Station 	NY 	-23--6-- 	RL 	0601 	 	4216N 07745W 	 
 	US  AJE 	Alger 	Alger 	OH 	--3----- 	RL 	0701 	 	4042N 08350W 	 
