Ch	LOCODE	Name	NameWoDiacritics	SubDiv	Function	Status	Date	IATA	Coordinates	Remarks
 	US  DYH 	Downieville 	Downieville 	CA 	--3----- 	RL 	1407 	 	3933N 12049W 	 
 	US  DOI 	Downing 	Downing 	WI 	--3----- 	RL 	0901 	 	4502N 09207W 	 
! 	US  DNT 	Downingtown 	Downingtown 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  4DO 	Downs 	Downs 	IL 	--3----- 	RL 	1301 	 	4023N 08852W 	 
 	US  DQW 	Downs 	Downs 	KS 	--3----- 	RL 	0901 	 	3930N 09832W 	 
 	US  DV8 	Downsville 	Downsville 	LA 	--3----- 	RL 	0901 	 	3237N 09224W 	 
 	US  DWQ 	Downsville 	Downsville 	NY 	1----6-- 	RQ 	1001 	 	4204N 07459W 	 
 	US  DXV 	Downsville 	Downsville 	WI 	--3----- 	RL 	1301 	 	4446N 09155W 	 
 	US  XFC 	Doyle 	Doyle 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  DOY 	Doyle 	Doyle 	CA 	--3--6-- 	RL 	0507 	 	4001N 12006W 	 
 	US  DYL 	Doylestown 	Doylestown 	PA 	---4---- 	AI 	9601 	 	 	 
 	US  XEV 	Dracut 	Dracut 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  DNR 	Drain 	Drain 	OR 	-23----- 	RL 	0701 	 	4339N 12318W 	 
 	US  DK2 	Drake 	Drake 	AZ 	-----6-- 	RL 	0901 	 	3458N 11222W 	 
 	US  DSB 	Drakesboro 	Drakesboro 	KY 	-23----- 	RL 	0701 	 	3713N 08703W 	 
 	US  DRK 	Draper 	Draper 	AR 	--3--6-- 	RL 	0401 	 	3337N 09211W 	 
 	US  DRQ 	Draper 	Draper 	UT 	-23--6-- 	RL 	0401 	 	4030N 11153W 	 
 	US  DVB 	Dravosburg 	Dravosburg 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  DY9 	Drayton 	Drayton 	ND 	--3----- 	RL 	1501 	 	4833N 09710W 	 
 	US  DMI 	Drayton Plains 	Drayton Plains 	MI 	--3----- 	RQ 	9307 	 	 	 
 	US  AAU 	Dresden 	Dresden 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  D2R 	Dresden 	Dresden 	ME 	-----6-- 	RL 	1307 	 	4404N 06945W 	 
 	US  DR8 	Dresden 	Dresden 	TX 	-----6-- 	RQ 	0907 	 	3201N 09640W 	 
 	US  DSD 	Dresden 	Dresden 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  DRC 	Dresher 	Dresher 	PA 	--3----- 	RL 	0901 	 	4008N 07510W 	 
 	US  DSW 	Dresser 	Dresser 	WI 	--3----- 	RQ 	9307 	 	 	 
 	US  DRM 	Drew 	Drew 	MS 	-23--6-- 	RL 	0401 	 	3348N 09031W 	 
 	US  DRL 	Drexel 	Drexel 	MO 	-23--6-- 	RL 	0401 	 	3828N 09436W 	 
 	US  DRX 	Drexel 	Drexel 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  DRF 	Drift River 	Drift River 	AK 	---4---- 	AI 	9601 	 	 	 
 	US  DBW 	Driftwood 	Driftwood 	TX 	--3----- 	RL 	0901 	 	3007N 09801W 	 
 	US  DGX 	Driggs 	Driggs 	ID 	-23----- 	RL 	0701 	 	4343N 11707W 	 
 	US  TDS 	Dripping Springs 	Dripping Springs 	TX 	--3----- 	RL 	0701 	 	3011N 09805W 	 
 	US  DRU 	Drummond 	Drummond 	MT 	---4---- 	AI 	0001 	 	 	 
 	US  DRE 	Drummond Island 	Drummond Island 	MI 	---4---- 	AI 	0001 	 	 	 
 	US  DH3 	Drumright 	Drumright 	OK 	-----6-- 	RL 	1201 	 	3559N 09636W 	 
 	US  UMS 	Drums 	Drums 	PA 	--3--6-- 	RQ 	0607 	 	4101N 07559W 	 
 	US  DRY 	Dry Branch 	Dry Branch 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  DFK 	Dry Fork, Pittsylvania 	Dry Fork, Pittsylvania 	VA 	-23--6-- 	RL 	0607 	 	3645N 07924W 	 
 	US  DDJ 	Dry Ridge 	Dry Ridge 	KY 	--3----- 	RQ 	9307 	 	 	 
 	US  D8Y 	Dryden 	Dryden 	NY 	--3----- 	AA 	1507 	 	4229N 07617W 	 
 	US  DYN 	Dryden 	Dryden 	TX 	--3----- 	RL 	0901 	 	3002N 10206W 	 
 	US  YDA 	Dryden 	Dryden 	MI 	-23----- 	RL 	0607 	 	4257N 08307W 	 
 	US  DR3 	Drytown 	Drytown 	CA 	1-3----- 	RL 	1401 	 	3826N 12051W 	 
 	US  DU4 	Du Bois 	Du Bois 	PA 	--3----- 	RL 	1301 	 	4107N 07845W 	 
 	US  ABX 	Du Pont 	Du Pont 	WA 	--3----- 	RL 	0106 	 	4705N 12238W 	 
 	US  DUU 	Du Quoin 	Du Quoin 	IL 	-23--6-- 	RL 	0401 	 	3800N 08914W 	 
 	US  5DB 	Duanesburg 	Duanesburg 	NY 	--3----- 	AA 	1507 	 	4245N 07408W 	 
 	US  URT 	Duart 	Duart 	NC 	--3--6-- 	RL 	0401 	 	3447N 07849W 	 
 	US  DUB 	Duarte 	Duarte 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  DUI 	Dublin 	Dublin 	PA 	--3--6-- 	RL 	0401 	 	4022N 07512W 	 
 	US  DUO 	Dublin 	Dublin 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  DZI 	Dublin 	Dublin 	NH 	--3----- 	RL 	0901 	 	4254N 07203W 	 
 	US  DBN 	Dublin 	Dublin 	GA 	---4---- 	AI 	9601 	 	 	 
 	US  PSK 	Dublin 	Dublin 	VA 	---4---- 	AI 	9601 	 	 	 
 	US  DBL 	Dublin 	Dublin 	TX 	-23--6-- 	RL 	0407 	 	3205N 09820W 	 
 	US  7DB 	Dublin 	Dublin 	NC 	--3----- 	AA 	1507 	 	3439N 07843W 	 
 	US  DQB 	Dublin 	Dublin 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  DBS 	Dubois 	Dubois 	ID 	--34---- 	AI 	9601 	 	 	 
 	US  DBV 	Dubois 	Dubois 	WY 	--3----- 	RL 	0701 	 	4332N 10938W 	 
 	US  DBI 	Dubois 	Dubois 	IN 	--3----- 	RQ 	9307 	 	 	 
 	US  DB5 	Dubois 	Dubois 	IL 	--3----- 	RL 	1501 	 	3813N 08912W 	 
 	US  DUJ 	Dubois 	Dubois 	PA 	--34---- 	AI 	9601 	 	 	 
 	US  DBQ 	Dubuque 	Dubuque 	IA 	1-34---- 	AI 	0207 	 	 	 
 	US  DUF 	Duck 	Duck 	NC 	---4---- 	AI 	0001 	 	 	 
 	US  DC3 	Ducktown 	Ducktown 	TN 	-23----- 	RL 	0701 	 	3502N 08423W 	 
 	US  DCO 	Ducor 	Ducor 	CA 	-23--6-- 	RL 	0607 	 	3553N 11902W 	 
 	US  DKU 	Dudley 	Dudley 	MA 	--3----- 	RL 	0901 	 	4202N 07155W 	 
 	US  UD4 	Dudley 	Dudley 	MO 	--3----- 	RL 	1307 	 	3647N 09005W 	 
 	US  DHU 	Dudley 	Dudley 	NC 	--3----- 	RL 	0901 	 	3516N 07802W 	 
 	US  D2G 	Duenweg 	Duenweg 	MO 	--3----- 	RL 	1401 	 	3705N 09424W 	 
 	US  DUD 	Duffield 	Duffield 	VA 	-23--6-- 	RL 	0601 	 	3643N 08248W 	 
 	US  DU2 	Dufur 	Dufur 	OR 	--3----- 	RL 	1107 	 	4527N 12108W 	 
 	US  DPG 	Dugway 	Dugway 	UT 	---4---- 	AI 	9601 	 	 	 
 	US  DUK 	Duke 	Duke 	OK 	--3----- 	RL 	0401 	 	3439N 09934W 	 
 	US  LLH 	Dulles 	Dulles 	VA 	--3--6-- 	RL 	0607 	 	3902N 07725W 	 
 	US  IAD 	Dulles Int Apt/Washington 	Dulles Int Apt/Washington 	VA 	---4---- 	AI 	0201 	 	 	 
 	US  DGA 	Duluth 	Duluth 	GA 	--3----- 	RL 	0907 	 	3410N 08408W 	 
 	US  DLH 	Duluth 	Duluth 	MN 	1--4---- 	AI 	0207 	 	 	 
 	US  DZU 	Dulzura 	Dulzura 	CA 	--3--6-- 	RQ 	0607 	 	3238N 11646W 	 
 	US  DMS 	Dumas 	Dumas 	AR 	--3----- 	RQ 	9307 	 	 	 
 	US  DS2 	Dumas 	Dumas 	MS 	-----6-- 	RQ 	1007 	 	3438N 08850W 	 
 	US  DUX 	Dumas 	Dumas 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  DFS 	Dumfries 	Dumfries 	VA 	--3----- 	RL 	0201 	 	3834N 07719W 	 
 	US  DMJ 	Dumont 	Dumont 	NJ 	-23----- 	RL 	0901 	 	4056N 07400W 	 
 	US  DBJ 	Dunbar 	Dunbar 	WI 	--3----- 	RL 	0701 	 	4539N 08810W 	 
 	US  DWV 	Dunbar 	Dunbar 	WV 	--3----- 	RQ 	9307 	 	 	 
 	US  DUE 	Dunbridge 	Dunbridge 	OH 	--3----- 	RL 	0407 	 	4127N 08336W 	 
 	US  DNK 	Duncan 	Duncan 	SC 	--3----- 	RQ 	9008 	 	 	 
 	US  DUC 	Duncan 	Duncan 	OK 	---4---- 	AI 	0001 	 	 	 
 	US  ZC4 	Duncan Falls 	Duncan Falls 	OH 	-----6-- 	RL 	0901 	 	3952N 08154W 	 
 	US  DMX 	Duncans Mills 	Duncans Mills 	CA 	--3----- 	AA 	1507 	 	3827N 12303W 	 
 	US  DUV 	Duncansville 	Duncansville 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  DV3 	Duncanville 	Duncanville 	TX 	-23----- 	RL 	0607 	 	3240N 09655W 	 
 	US  DU7 	Duncombe 	Duncombe 	IA 	--3----- 	RL 	1301 	 	4228N 09359W 	 
 	US  DDQ 	Dundalk 	Dundalk 	MD 	--3----- 	RQ 	9307 	 	 	 
 	US  UDS 	Dundas 	Dundas 	MN 	-23----- 	RL 	0607 	 	4426N 09312W 	 
 	US  UEZ 	Dundee 	Dundee 	OR 	--3----- 	RL 	0901 	 	4517N 12301W 	 
 	US  DE4 	Dundee 	Dundee 	OH 	--3----- 	RL 	1307 	 	4035N 08136W 	 
 	US  DND 	Dundee 	Dundee 	MI 	--3----- 	RL 	0401 	 	4157N 08339W 	 
 	US  DYI 	Dundee 	Dundee 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  DYK 	Dundee 	Dundee 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  DYU 	Dundee 	Dundee 	FL 	-23----- 	RL 	0401 	 	2801N 08137W 	 
 	US  DNB 	Dunedin 	Dunedin 	FL 	--3----- 	RQ 	9307 	 	 	 
 	US  DUL 	Dunellen 	Dunellen 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  DKD 	Dunkirk 	Dunkirk 	IN 	--3----- 	RQ 	9307 	 	 	 
 	US  DKI 	Dunkirk 	Dunkirk 	OH 	-23----- 	RL 	0701 	 	4047N 08338W 	 
 	US  DKK 	Dunkirk 	Dunkirk 	NY 	1-34---- 	AI 	1101 	 	4229N 07916W 	 
 	US  K44 	Dunkirk 	Dunkirk 	MD 	--3----- 	RL 	1407 	 	3843N 07639W 	 
 	US  DZP 	Dunlap 	Dunlap 	IA 	--3--6-- 	RL 	0901 	 	4151N 09536W 	 
 	US  ULJ 	Dunlap 	Dunlap 	IN 	--3----- 	RL 	1107 	 	4138N 08555W 	 
 	US  DJR 	Dunlap 	Dunlap 	IL 	--3----- 	RL 	0201 	 	4051N 08940W 	 
 	US  UNL 	Dunlap 	Dunlap 	TN 	-23--6-- 	RL 	0401 	 	3522N 08523W 	 
 	US  DNZ 	Dunmore 	Dunmore 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  DU3 	Dunmore 	Dunmore 	WV 	1------- 	RL 	1201 	 	3821N 07952W 	 
 	US  DUM 	Dunn 	Dunn 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  DUZ 	Dunn 	Dunn 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  DFU 	Dunnellon 	Dunnellon 	FL 	123----- 	RL 	0407 	 	2902N 08227W 	 
 	US  DIG 	Dunnigan 	Dunnigan 	CA 	--3----- 	RQ 	0607 	 	3852N 12158W 	 
 	US  DNV 	Dunnville 	Dunnville 	KY 	--3--6-- 	RQ 	0607 	 	3712N 08500W 	 
 	US  DUN 	Dunseith 	Dunseith 	ND 	--3----B 	RN 	0105 	 	4848N 10003W 	 
 	US  DSE 	Dunstable 	Dunstable 	MA 	--3--6-- 	RQ 	0607 	 	4220N 07129W 	 
 	US  DW3 	Dunwoody 	Dunwoody 	GA 	--3--6-- 	RQ 	0907 	 	3357N 08420W 	 
 	US  DUP 	Dupo 	Dupo 	IL 	123--6-- 	RL 	0307 	 	3830N 09012W 	 
 	US  DPN 	Dupont 	Dupont 	CO 	--3---7- 	RL 	1101 	 	3950N 10454W 	 
 	US  PUD 	Dupont 	Dupont 	PA 	-23--6-- 	RL 	0607 	 	4119N 07545W 	 
 	US  PUP 	Dupont 	Dupont 	WA 	--3----- 	RL 	0201 	 	4707N 12236W 	 
 	US  ZDQ 	Duquesne 	Duquesne 	PA 	123--6-- 	RL 	0307 	 	4022N 07951W 	 
 	US  DUQ 	Duquoin 	Duquoin 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  DXD 	Durand 	Durand 	WI 	--3----- 	RQ 	9307 	 	 	 
 	US  RUD 	Durand 	Durand 	MI 	-23--6-- 	RL 	0607 	 	4255N 08359W 	 
 	US  DDI 	Durand 	Durand 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  DRO 	Durango 	Durango 	CO 	--34---- 	AI 	9601 	 	 	 
 	US  URA 	Durant 	Durant 	MS 	-23--6-- 	RL 	0401 	 	3304N 08951W 	 
 	US  D3F 	Durant 	Durant 	FL 	--3----- 	AA 	1507 	 	2754N 08211W 	 
 	US  DUA 	Durant 	Durant 	OK 	--34---- 	AI 	9601 	 	 	 
 	US  DUW 	Durbin 	Durbin 	WV 	--3----- 	RQ 	9307 	 	 	 
 	US  DJB 	Durbin 	Durbin 	ND 	--3----- 	RL 	0901 	 	4648N 09708W 	 
 	US  DXH 	Durham 	Durham 	PA 	--3----- 	RL 	1307 	 	4034N 07531W 	 
 	US  DH2 	Durham 	Durham 	NH 	-----6-- 	RQ 	1007 	 	4308N 07055W 	 
 	US  DH8 	Durham 	Durham 	CA 	--3----- 	RL 	1307 	 	3938N 12147W 	 
 	US  DHH 	Durham 	Durham 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  DHQ 	Durham 	Durham 	CT 	--3----- 	RQ 	9307 	 	 	 
 	US  DUR 	Durham 	Durham 	NC 	--3----- 	RN 	0201 	 	 	cf Apt RDU 
 	US  RDU 	Durham-Raleigh Apt 	Durham-Raleigh Apt 	NC 	---4---- 	AI 	0201 	 	 	cf US DUR, US RAG 
 	US  UEE 	Durkee 	Durkee 	OR 	--3----- 	RL 	1301 	 	4434N 11727W 	 
 	US  DYA 	Duryea 	Duryea 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  DUS 	Dushore 	Dushore 	PA 	--3----- 	RL 	9901 	 	 	 
 	US  DUT 	Dutch Harbor 	Dutch Harbor 	AK 	1--4---- 	AI 	0001 	 	 	 
 	US  DU8 	Dutton 	Dutton 	MI 	--3----- 	RL 	0607 	 	4250N 08535W 	 
 	US  ZDU 	Dutton 	Dutton 	AL 	--3----- 	RL 	0701 	 	3437N 08555W 	 
 	US  ZDZ 	Dutzow 	Dutzow 	MO 	123--6-- 	RL 	0307 	 	3836N 09059W 	 
 	US  DZA 	Duvall 	Duvall 	WA 	--3----- 	RL 	0901 	 	4744N 12159W 	 
 	US  DUH 	Duxbury 	Duxbury 	MA 	1-3----- 	RL 	0701 	 	4203N 07040W 	 
 	US  DVG 	Dwight 	Dwight 	ND 	--3----- 	RQ 	0907 	 	4618N 09644W 	 
 	US  DWI 	Dwight 	Dwight 	IL 	--3----- 	RL 	1101 	 	4105N 08825W 	 
 	US  DYQ 	Dyer 	Dyer 	IN 	--3--6-- 	RQ 	0607 	 	4129N 08730W 	 
! 	US  DYS 	Dyer 	Dyer 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  YEX 	Dyer 	Dyer 	NV 	--3--6-- 	RQ 	0607 	 	3740N 11805W 	 
 	US  DYR 	Dyersburg 	Dyersburg 	TN 	--3----- 	RQ 	9008 	 	 	 
 	US  DYE 	Dyersville 	Dyersville 	IA 	--3----- 	RQ 	9307 	 	 	 
 	US  DZY 	Dysart 	Dysart 	IA 	--3----- 	RL 	0901 	 	4210N 09218W 	 
 	US  XED 	Eads 	Eads 	TN 	--3----- 	RL 	1301 	 	3512N 08938W 	 
 	US  UFS 	Eagan 	Eagan 	MN 	--3---7- 	RL 	0501 	 	4448N 09310W 	 
 	US  E4G 	Eagar 	Eagar 	AZ 	--3----- 	RL 	1101 	 	3406N 10917W 	 
 	US  G9L 	Eagle 	Eagle 	ID 	--3----- 	RL 	1301 	 	4738N 11555W 	 
 	US  XXP 	Eagle 	Eagle 	WI 	-23----- 	RL 	0901 	 	4253N 08828W 	 
 	US  EGL 	Eagle 	Eagle 	PA 	--3--6-- 	RL 	0401 	 	4004N 07541W 	 
 	US  EEJ 	Eagle 	Eagle 	NE 	--3----- 	RL 	1307 	 	4049N 09625W 	 
 	US  EAA 	Eagle 	Eagle 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  EG3 	Eagle 	Eagle 	CO 	--3--6-- 	RQ 	1007 	 	3939N 10649W 	 
 	US  DMQ 	Eagle Bridge 	Eagle Bridge 	NY 	--3----- 	RL 	1301 	 	4257N 07323W 	 
 	US  EB8 	Eagle Butte 	Eagle Butte 	SD 	--3----- 	RL 	1301 	 	4500N 10113W 	 
 	US  E3C 	Eagle Creek 	Eagle Creek 	OR 	-23----- 	RL 	1301 	 	4521N 12221W 	 
 	US  EGF 	Eagle Grove 	Eagle Grove 	IA 	--3----- 	RQ 	9307 	 	 	 
 	US  ELA 	Eagle Lake 	Eagle Lake 	TX 	---4---- 	AI 	0001 	 	 	 
 	US  EGP 	Eagle Pass 	Eagle Pass 	TX 	--3----B 	RL 	0106 	 	2842N 10029W 	 
 	US  EAG 	Eagle Point 	Eagle Point 	NJ 	--3----- 	RQ 	9012 	 	 	 
 	US  ERQ 	Eagle River 	Eagle River 	AK 	--3----- 	RQ 	9307 	 	 	 
 	US  EGV 	Eagle River 	Eagle River 	WI 	---4---- 	AI 	0001 	 	 	 
 	US  EGR 	Eagle Rock 	Eagle Rock 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  YGK 	Eagle Rock 	Eagle Rock 	MO 	--3----- 	RL 	1201 	 	3632N 09345W 	 
 	US  ER3 	Eagle Rock, Botetourt 	Eagle Rock, Botetourt 	VA 	-23----- 	RL 	0607 	 	3738N 07948W 	 
 	US  E8S 	Eagle Springs 	Eagle Springs 	NC 	--3----- 	RL 	1401 	 	3517N 07939W 	 
 	US  YEA 	Eagle, Ada 	Eagle, Ada 	ID 	--3--6-- 	RL 	0607 	 	4342N 11621W 	 
 	US  E33 	Eagles Mere 	Eagles Mere 	PA 	--3----- 	RL 	1307 	 	4124N 07634W 	 
 	US  E2G 	Eagleville 	Eagleville 	TN 	--3----- 	RL 	0901 	 	3357N 08555W 	 
 	US  EGJ 	Eagleville 	Eagleville 	MO 	--3----- 	RL 	0701 	 	4028N 09359W 	 
 	US  EAV 	Eagleville 	Eagleville 	PA 	-23----- 	RL 	0212 	 	4009N 07524W 	Montgomery 
 	US  QEY 	Eakly 	Eakly 	OK 	1-3--6-- 	RL 	0307 	 	3518N 09833W 	 
 	US  ERE 	Earl 	Earl 	NC 	123----- 	RL 	0307 	 	3511N 08132W 	 
 	US  EPA 	Earl Park 	Earl Park 	IN 	123----- 	RL 	0501 	 	4040N 08724W 	 
 	US  EAE 	Earle 	Earle 	NJ 	--3----- 	RL 	0401 	 	4013N 07408W 	 
 	US  EAM 	Earle 	Earle 	AR 	--3----- 	RN 	0105 	 	 	 
 	US  M9D 	Earleville 	Earleville 	MD 	--3----- 	AA 	1507 	 	3924N 07555W 	 
 	US  EYM 	Earlimart 	Earlimart 	CA 	--3----- 	RL 	1201 	 	3553N 11916W 	 
 	US  QEO 	Earlington 	Earlington 	KY 	123--6-- 	RL 	0307 	 	3716N 08730W 	 
 	US  8EV 	Earlville 	Earlville 	IL 	--3----- 	RL 	1301 	 	4135N 08855W 	 
 	US  QEV 	Earlville 	Earlville 	IA 	123--6-- 	RL 	0307 	 	4228N 09116W 	 
 	US  EYB 	Early Branch 	Early Branch 	SC 	-23--6-- 	RL 	0607 	 	3245N 08056W 	 
 	US  ETC 	Earth City 	Earth City 	MO 	--3----- 	RQ 	9307 	 	 	 
 	US  EAL 	Easley 	Easley 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  EBU 	East Alburg 	East Alburg 	VT 	-2------ 	RL 	0901 	 	4458N 07313W 	 
 	US  EOL 	East Alton 	East Alton 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  EAO 	East Aurora 	East Aurora 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  EGB 	East Bangor 	East Bangor 	PA 	-23----- 	RL 	0701 	 	4052N 07511W 	 
 	US  EBD 	East Bend 	East Bend 	NC 	--3--6-- 	RL 	0507 	 	3612N 08030W 	 
 	US  AAV 	East Berlin 	East Berlin 	CT 	--3----- 	RQ 	9008 	 	 	 
 	US  EBL 	East Berlin 	East Berlin 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  TBE 	East Bernard 	East Bernard 	TX 	-23----- 	RL 	0507 	 	2931N 09604W 	 
 	US  ETD 	East Bernstadt 	East Bernstadt 	KY 	-23--6-- 	RL 	0401 	 	3711N 08407W 	 
 	US  ZTB 	East Bloomfield 	East Bloomfield 	NY 	1-3--6-- 	RL 	0307 	 	4253N 07726W 	 
 	US  EBN 	East Boston 	East Boston 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  D4B 	East Branch 	East Branch 	NY 	--3----- 	RL 	1407 	 	4159N 07508W 	 
 	US  EBC 	East Bridgeport 	East Bridgeport 	CT 	--3----- 	RQ 	9307 	 	 	 
 	US  EAB 	East Bridgewater 	East Bridgewater 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  EBQ 	East Brookfield 	East Brookfield 	MA 	--3----- 	RQ 	9307 	 	 	 
! 	US  EBR 	East Brunswick 	East Brunswick 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  EBT 	East Butler 	East Butler 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  ECM 	East Cambridge 	East Cambridge 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  ECN 	East Camden 	East Camden 	AR 	--3----- 	RQ 	9307 	 	 	 
 	US  ECZ 	East Canton 	East Canton 	OH 	-23--6-- 	RL 	0607 	 	4047N 08117W 	 
 	US  TCD 	East Carondelet 	East Carondelet 	IL 	--3----- 	RL 	0701 	 	3832N 09013W 	 
 	US  EQN 	East Chatham 	East Chatham 	NY 	--3----- 	RL 	0901 	 	4224N 73312W 	 
 	US  ECH 	East Chicago 	East Chicago 	IN 	1-3----- 	RN 	0105 	 	 	 
 	US  ECL 	East Clinton 	East Clinton 	IL 	-23----- 	RL 	0207 	 	4150N 09010W 	 
 	US  ECX 	East Concord 	East Concord 	NY 	-23----- 	RL 	0607 	 	4233N 07839W 	 
 	US  EZV 	East Danville 	East Danville 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  TDN 	East Dennis 	East Dennis 	MA 	--3----- 	RL 	0901 	 	4144N 07009W 	 
 	US  EJO 	East Dorset 	East Dorset 	VT 	--3----- 	RL 	0901 	 	4314N 07300W 	 
 	US  EDO 	East Douglas 	East Douglas 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  EDU 	East Dublin 	East Dublin 	GA 	--3----- 	RL 	0307 	 	3232N 08252W 	 
 	US  EQE 	East Dubuque 	East Dubuque 	IL 	123--6-- 	RL 	0307 	 	4229N 09038W 	 
 	US  9ED 	East Dundee 	East Dundee 	IL 	--3----- 	RL 	1301 	 	4205N 08816W 	 
 	US  ED8 	East Durham 	East Durham 	NY 	-----6-- 	RL 	1107 	 	4222N 07405W 	 
 	US  EE3 	East Earl 	East Earl 	PA 	-23----- 	RL 	0607 	 	4007N 07602W 	 
 	US  EHU 	East Elmhurst 	East Elmhurst 	NY 	--3----- 	RL 	0901 	 	4046N 07352W 	 
 	US  4HE 	East Fairfield 	East Fairfield 	OH 	1----6-- 	RL 	1407 	 	4049N 08038W 	 
 	US  ZEF 	East Falmouth 	East Falmouth 	MA 	1-3----- 	RL 	0307 	 	4134N 07033W 	 
 	US  EFR 	East Farmingdale 	East Farmingdale 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  YEF 	East Fayetteville 	East Fayetteville 	NC 	--3----- 	RL 	0901 	 	3502N 07851W 	 
 	US  TVK 	East Fishkill 	East Fishkill 	NY 	--3----- 	RL 	0901 	 	4133N 07347W 	 
 	US  ERK 	East Flat Rock 	East Flat Rock 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  EFO 	East Fork 	East Fork 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  EFJ 	East Freehold 	East Freehold 	NJ 	--3--6-- 	RQ 	1007 	 	4017N 07415W 	 
 	US  EFN 	East Freetown 	East Freetown 	MA 	1-3--6-- 	RL 	0607 	 	4146N 07057W 	 
 	US  EGZ 	East Glenville 	East Glenville 	NY 	--3----- 	RL 	0607 	 	4253N 07355W 	 
 	US  EGO 	East Goshen 	East Goshen 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  EBY 	East Granby 	East Granby 	CT 	--3----- 	RQ 	9307 	 	 	 
 	US  EGQ 	East Grand Forks 	East Grand Forks 	MN 	--3----- 	RQ 	9307 	 	 	 
 	US  EGY 	East Greenbush 	East Greenbush 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  UFT 	East Greenville 	East Greenville 	PA 	--3----- 	RQ 	9008 	 	 	 
 	US  UFU 	East Greenwich 	East Greenwich 	RI 	--3----- 	RQ 	9008 	 	 	 
 	US  EH5 	East Greenwich 	East Greenwich 	WA 	--3----- 	RL 	1501 	 	4308N 07323W 	 
 	US  TDM 	East Haddam 	East Haddam 	CT 	--3----- 	RQ 	0901 	 	4127N 07227W 	 
 	US  EAH 	East Hampton 	East Hampton 	CT 	--3--6-- 	RL 	0401 	 	4134N 07230W 	 
 	US  HTO 	East Hampton 	East Hampton 	NY 	---4---- 	AI 	0001 	 	 	 
 	US  EHA 	East Hanover 	East Hanover 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  EHT 	East Hartford 	East Hartford 	CT 	---4---- 	AI 	9601 	 	 	 
 	US  EH6 	East Harwich 	East Harwich 	MA 	--3----- 	RL 	1501 	 	4142N 07001W 	 
 	US  EHV 	East Haven 	East Haven 	CT 	--3----- 	RQ 	9307 	 	 	 
 	US  EHC 	East Hazel Crest 	East Hazel Crest 	IL 	--3----- 	RL 	0701 	 	4134N 08739W 	 
 	US  EAI 	East Irvine 	East Irvine 	CA 	--3----- 	RL 	0507 	 	3340N 11745W 	 
 	US  IS8 	East Islip 	East Islip 	NY 	--3----- 	RL 	1301 	 	4043N 07311W 	 
 	US  JW7 	East Jewett 	East Jewett 	NY 	--3----- 	RL 	1301 	 	4214N 07408W 	 
 	US  EJD 	East Jordan 	East Jordan 	MI 	--3----- 	RQ 	9307 	 	 	 
 	US  EKB 	East Keansburg 	East Keansburg 	NJ 	1----6-- 	RL 	0901 	 	4026N 07407W 	 
 	US  EK8 	East Kingston 	East Kingston 	NH 	--3----- 	RL 	0901 	 	4255N 07101W 	 
